Timestamp,Load R1,Load R3,Load R4,Load R5,Load R6,Load R8,Load R10,Load R11,Load R12,Load R14,Load CI1,Load CI3,Load CI7,Load CI9,Load CI10,Load CI12,Load CI13,Load CI14,PV 3,PV 4,PV 5,PV 6,PV 8,PV 9,PV 10,PV 11,WKA 7,Export - Market price ($/MWh),Import - Market price ($/MWh),Bus 1,Bus 12,Line 5-6,Line 8-9,Line 7-8,Line 13-14,Battery 1,Battery 2
 01/01/2020 01:00:00,0.04,0.04,0.09,0.04,0.09,0.06,0.02,0.02,0.05,0.03,0.56,0.35,0.28,0.41,0.16,0.41,0.24,0.11,0.5954,0,0,0.5549,0.6213,0,0,0,0,35.8,55.8,,,,,,,,
 01/01/2020 02:00:00,0.06,0.03,0.06,0.04,0.06,0.07,0.02,0.02,0.03,0.05,0.56,0.34,0.28,0.27,0.16,0.29,0.24,0.11,0.6092,0,0,0.5727,0.614,0,0,0,0,38.6,58.6,,,,,,,,
 01/01/2020 03:00:00,0.06,0.03,0.04,0.03,0.07,0.07,0.02,0.03,0.04,0.04,0.56,0.3,0.28,0.27,0.19,0.29,0.24,0.11,0.6255,0,0,0.5804,0.6014,0,0,0,0,38.6,58.6,,,,,,,,
 01/01/2020 04:00:00,0.04,0.02,0.03,0.03,0.06,0.06,0.01,0.03,0.04,0.06,0.56,0.29,0.27,0.27,0.2,0.29,0.24,0.12,0.6248,0,0,0.5944,0.5913,0,0,0,0,45,65,,,,,,,,
 01/01/2020 05:00:00,0.29,0.03,0.04,0.03,0.09,0.02,0.02,0.02,0.04,0.03,0.57,0.3,0.29,0.28,0.2,0.3,0.25,0.12,0.6357,0,0,0.6071,0.5796,0,0,0,0,45,65,,,,,,,,
 01/01/2020 06:00:00,0.11,0.03,0.04,0.03,0.07,0.05,0.03,0.01,0.04,0.03,0.57,0.34,0.29,0.41,0.21,0.42,0.24,0.12,0.6248,0,0,0.6088,0.5642,0,0,0,0,45,65,,,,,,,,
 01/01/2020 07:00:00,0.54,0.02,0.03,0.03,0.06,0.06,0.02,0.01,0.07,0.02,0.61,0.53,0.4,0.71,0.2,0.86,0.25,0.12,0.6151,0,0,0.6072,0.5387,0.0005,0,0.18,0,47.33,67.33,,,,,,,,
 01/01/2020 08:00:00,0.02,0.02,0.03,0.05,0.1,0.1,0.01,0.02,0.06,0.02,0.62,0.64,0.41,0.79,0.15,0.8,0.16,0.11,0.6042,0.0041,0,0.6076,0.5044,0,0.595238095,0.57,0,53.63,73.63,,,,,,,,
 01/01/2020 09:00:00,0.08,0.03,0.03,0.04,0.14,0.05,0.01,0.02,0.05,0.03,0.67,0.87,0.51,0.77,0.1,0.63,0.12,0.1,0.6131,0.0372,0.0478,0.6064,0.4796,0.0006,2.23015873,4.68,0,47.33,67.33,,,,,,,,
 01/01/2020 10:00:00,0.09,0.03,0.03,0.08,0.07,0.09,0.02,0.02,0.11,0.18,0.66,0.74,0.43,0.63,0.09,0.63,0.11,0.1,0.6283,0.096,0.1162,0.5912,0.4451,0.0394,5.753968254,8.25,0,47.33,67.33,,,,,,,,
